Entity,Code,Year,Average length of stay
Austria,AUT,1995,4.21
Austria,AUT,1996,4.08
Austria,AUT,1997,4
Austria,AUT,1998,3.87
Austria,AUT,1999,3.83
Austria,AUT,2000,3.73
Austria,AUT,2001,3.71
Austria,AUT,2002,3.72
Austria,AUT,2003,3.66
Austria,AUT,2004,3.58
Austria,AUT,2005,3.55
Austria,AUT,2006,3.46
Austria,AUT,2007,3.41
Austria,AUT,2008,3.4
Austria,AUT,2009,3.4
Austria,AUT,2010,3.6
Austria,AUT,2011,3.64
Austria,AUT,2012,3.62
Austria,AUT,2013,3.6
Austria,AUT,2014,3.52
Austria,AUT,2015,3.43
Austria,AUT,2016,3.4
Austria,AUT,2017,3.35
Austria,AUT,2018,3.34
Austria,AUT,2019,3.31
Austria,AUT,2020,3.91
Austria,AUT,2021,3.59
France,FRA,1998,1.86
France,FRA,1999,1.87
France,FRA,2000,1.88
France,FRA,2001,1.89
France,FRA,2002,1.9
France,FRA,2003,1.87
France,FRA,2004,1.82
France,FRA,2005,1.81
France,FRA,2006,1.82
France,FRA,2007,1.84
France,FRA,2008,1.84
France,FRA,2009,1.81
France,FRA,2010,1.82
France,FRA,2011,1.82
France,FRA,2012,1.82
France,FRA,2013,1.81
France,FRA,2014,1.79
France,FRA,2015,1.78
France,FRA,2016,1.76
France,FRA,2017,1.76
France,FRA,2018,1.77
France,FRA,2019,1.8
France,FRA,2020,1.8
France,FRA,2021,1.8
Germany,DEU,1995,2.39
Germany,DEU,1996,2.17
Germany,DEU,1997,2.15
Germany,DEU,1998,2.12
Germany,DEU,1999,2.13
Germany,DEU,2000,2.32
Germany,DEU,2001,2.33
Germany,DEU,2002,2.31
Germany,DEU,2003,2.29
Germany,DEU,2004,2.25
Germany,DEU,2005,2.22
Germany,DEU,2006,2.19
Germany,DEU,2007,2.18
Germany,DEU,2008,2.17
Germany,DEU,2009,2.17
Germany,DEU,2010,2.14
Germany,DEU,2011,2.12
Germany,DEU,2012,2.13
Germany,DEU,2013,2.12
Germany,DEU,2014,2.12
Germany,DEU,2015,2.1
Germany,DEU,2016,2.1
Germany,DEU,2017,2.1
Germany,DEU,2018,2.1
Germany,DEU,2019,2.1
Germany,DEU,2020,2.3
Germany,DEU,2021,2.4
Greece,GRC,1995,4.51
Greece,GRC,1996,4.43
Greece,GRC,1997,4.43
Greece,GRC,1998,4.01
Greece,GRC,1999,4.27
Greece,GRC,2000,4.47
Greece,GRC,2001,4.4
Greece,GRC,2002,4.41
Greece,GRC,2003,4.37
Greece,GRC,2004,4.34
Greece,GRC,2005,4.13
Greece,GRC,2006,4.15
Greece,GRC,2007,4.08
Greece,GRC,2008,4.1
Greece,GRC,2009,4.05
Greece,GRC,2010,4.11
Greece,GRC,2011,4.23
Greece,GRC,2012,4.35
Greece,GRC,2013,4.43
Greece,GRC,2014,4.44
Greece,GRC,2015,4.39
Greece,GRC,2016,4.4
Greece,GRC,2017,4.37
Greece,GRC,2018,4.26
Greece,GRC,2019,4.2
Greece,GRC,2020,4.77
Greece,GRC,2021,4.7
Italy,ITA,1995,4.29
Italy,ITA,2000,4.23
Italy,ITA,2001,4.28
Italy,ITA,2002,4.21
Italy,ITA,2003,3.4
Italy,ITA,2004,3.31
Italy,ITA,2005,3.33
Italy,ITA,2006,3.27
Italy,ITA,2007,3.26
Italy,ITA,2008,3.26
Italy,ITA,2009,3.23
Italy,ITA,2010,3.16
