Entity,Year,Yearly Average CO₂ total emissions
Austria,2019,243385.74583333335
Austria,2020,83591.90375
Austria,2021,105086.29408333334
Austria,2022,177697.65166666664
Austria,2023,175056.7333333333
France,2019,1940968.0833333333
France,2020,912333.4500000001
France,2021,1130237.6666666667
France,2022,1840662.75
France,2023,1775889.3333333333
Germany,2019,2181476.0
Germany,2020,814818.5158333333
Germany,2021,971732.1166666667
Germany,2022,1554366.2833333332
Germany,2023,1406095.5
Greece,2019,324066.6
Greece,2020,124547.4655
Greece,2021,229604.69658333334
Greece,2022,346536.175
Greece,2023,120665.7
Italy,2019,1150066.25
Italy,2020,378558.4666666666
Italy,2021,498173.6583333334
Italy,2022,896550.9166666666
Italy,2023,742670.0
Japan,2019,2527591.0833333335
Japan,2020,1249058.4166666667
Japan,2021,1191980.1666666667
Japan,2022,1558581.4166666667
Japan,2023,1737380.6666666667
Mexico,2019,1035622.1666666666
Mexico,2020,593029.7333333333
Mexico,2021,870777.8333333334
Mexico,2022,1074845.0
Mexico,2023,1160622.3333333333
Spain,2019,1723099.25
Spain,2020,611408.4500000001
Spain,2021,839194.6666666666
Spain,2022,1484727.5
Spain,2023,1335727.3333333333
Thailand,2019,1295662.25
Thailand,2020,472236.9116666667
Thailand,2021,265377.5358333333
Thailand,2022,548563.4166666666
Thailand,2023,845440.0
Turkey,2019,1259380.75
Turkey,2020,506660.5266666667
Turkey,2021,841347.625
Turkey,2022,1235012.0833333333
Turkey,2023,1104846.0
